iter	Passed	Remaining
0	151	150884
1	158	79205
2	167	55812
3	177	44088
4	186	37179
5	195	32401
6	204	28989
7	213	26523
8	221	24413
9	230	22808
10	238	21436
11	246	20319
12	254	19301
13	262	18467
14	269	17715
15	278	17152
16	286	16585
17	295	16121
18	303	15678
19	313	15378
20	321	14997
21	330	14710
22	338	14382
23	347	14134
24	355	13874
25	364	13667
26	373	13476
27	381	13252
28	390	13080
29	399	12902
30	407	12741
31	416	12603
32	425	12457
33	433	12304
34	442	12190
35	452	12109
36	463	12054
37	474	12014
38	486	11985
39	498	11961
40	509	11909
41	521	11891
42	531	11839
43	545	11845
44	556	11812
45	568	11792
46	581	11784
47	595	11803
48	608	11816
49	622	11820
50	633	11792
51	646	11790
52	660	11803
53	677	11872
54	691	11887
55	705	11887
56	716	11855
57	730	11869
58	743	11857
59	756	11849
60	767	11814
61	779	11795
62	792	11788
63	803	11755
64	812	11693
65	824	11662
66	833	11607
67	842	11542
68	851	11484
69	859	11415
70	868	11362
71	875	11289
72	885	11241
73	893	11179
74	902	11135
75	910	11073
76	920	11028
77	927	10966
78	936	10913
79	943	10848
80	966	10965
81	974	10912
82	983	10862
83	990	10803
84	999	10761
85	1008	10712
86	1016	10666
87	1023	10609
88	1032	10566
89	1040	10522
90	1050	10497
91	1062	10486
92	1072	10457
93	1083	10442
94	1094	10423
95	1103	10391
96	1114	10374
97	1124	10347
98	1135	10330
99	1145	10308
100	1156	10295
101	1167	10277
102	1176	10248
103	1185	10209
104	1193	10176
105	1201	10136
106	1210	10105
107	1219	10072
108	1229	10053
109	1237	10011
110	1248	9999
111	1260	9990
112	1269	9961
113	1279	9946
114	1291	9935
115	1299	9904
116	1309	9884
117	1318	9852
118	1326	9821
119	1334	9786
120	1342	9755
121	1350	9719
122	1358	9689
123	1366	9654
124	1375	9629
125	1383	9594
126	1391	9563
127	1398	9530
128	1407	9500
129	1415	9469
130	1423	9444
131	1431	9414
132	1440	9393
133	1448	9361
134	1457	9335
135	1465	9308
136	1476	9298
137	1483	9267
138	1492	9244
139	1499	9213
140	1508	9192
141	1516	9163
142	1525	9142
143	1532	9111
144	1541	9087
145	1548	9059
146	1557	9039
147	1565	9011
148	1573	8989
149	1582	8967
150	1590	8945
151	1598	8917
152	1607	8900
153	1615	8876
154	1624	8854
155	1631	8828
156	1640	8808
157	1648	8782
158	1656	8764
159	1664	8738
160	1673	8720
161	1681	8699
162	1690	8681
163	1699	8662
164	1706	8637
165	1714	8614
166	1723	8595
167	1731	8573
168	1739	8554
169	1748	8534
170	1765	8557
171	1772	8533
172	1781	8516
173	1790	8499
174	1800	8485
175	1808	8467
176	1817	8450
177	1824	8427
178	1833	8409
179	1840	8386
180	1850	8374
181	1863	8377
182	1873	8364
183	1884	8357
184	1892	8339
185	1904	8332
186	1914	8324
187	1923	8308
188	1933	8298
189	1941	8278
190	1952	8269
191	1960	8250
192	1970	8239
193	1978	8221
194	1986	8201
195	1995	8184
196	2003	8165
197	2012	8152
198	2020	8131
199	2028	8114
200	2036	8096
201	2045	8081
202	2053	8063
203	2062	8047
